JobID,JobName,Account,AveCPU,AveRSS,AveVMSize,CPUTime,Elapsed,ElapsedRaw,ExitCode,MaxRSS,MaxVMSize,MaxDiskRead,MaxDiskReadNode,MaxDiskReadTask,MaxDiskWrite,MaxDiskWriteNode,MaxDiskWriteTask,MaxPages,ReqCPUS,ReqMem,ReqNodes,NCPUS,NNodes,User,Eligible,Start,End,Suspended
7501181,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:01,00:00:01,1,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:52,2024-09-22T16:59:39,2024-09-22T16:59:40,00:00:00
7501181.batch,batch,soh,00:00:00,0,153060K,00:00:01,00:00:01,1,0:0,0,153060K,0,c2509,0,0,c2509,0,10,1,130000Mc,1,1,1,,2024-09-22T16:59:39,2024-09-22T16:59:39,2024-09-22T16:59:40,00:00:00
7501185,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:52,2024-09-22T17:00:39,2024-09-22T17:00:41,00:00:00
7501185.batch,batch,soh,00:00:00,0,153060K,00:00:02,00:00:02,2,0:0,0,153060K,0,c2509,0,0,c2509,0,10,1,130000Mc,1,1,1,,2024-09-22T17:00:39,2024-09-22T17:00:39,2024-09-22T17:00:41,00:00:00
7501174,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:51,2024-09-22T16:58:08,2024-09-22T16:58:10,00:00:00
7501174.batch,batch,soh,00:00:00,0,153060K,00:00:02,00:00:02,2,0:0,0,153060K,0,c2509,0,0,c2509,0,5,1,130000Mc,1,1,1,,2024-09-22T16:58:08,2024-09-22T16:58:08,2024-09-22T16:58:10,00:00:00
7501196,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:01,00:00:01,1,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:52,2024-09-22T17:03:40,2024-09-22T17:03:41,00:00:00
7501196.batch,batch,soh,00:00:00,0,153060K,00:00:01,00:00:01,1,0:0,0,153060K,0,c2509,0,0,c2509,0,7,1,130000Mc,1,1,1,,2024-09-22T17:03:40,2024-09-22T17:03:40,2024-09-22T17:03:41,00:00:00
7501177,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:51,2024-09-22T16:58:38,2024-09-22T16:58:40,00:00:00
7501177.batch,batch,soh,00:00:00,0,153060K,00:00:02,00:00:02,2,0:0,0,153060K,0,c2509,0,0,c2509,0,11,1,130000Mc,1,1,1,,2024-09-22T16:58:38,2024-09-22T16:58:38,2024-09-22T16:58:40,00:00:00
7501169,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:01,00:00:01,1,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:51,2024-09-22T16:56:38,2024-09-22T16:56:39,00:00:00
7501169.batch,batch,soh,00:00:00,548K,153060K,00:00:01,00:00:01,1,0:0,548K,153060K,0,c2509,0,0,c2509,0,10,1,130000Mc,1,1,1,,2024-09-22T16:56:38,2024-09-22T16:56:38,2024-09-22T16:56:39,00:00:00
7501171,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:51,2024-09-22T16:57:08,2024-09-22T16:57:10,00:00:00
7501171.batch,batch,soh,00:00:00,0,153060K,00:00:02,00:00:02,2,0:0,0,153060K,0,c2509,0,0,c2509,0,12,1,130000Mc,1,1,1,,2024-09-22T16:57:08,2024-09-22T16:57:08,2024-09-22T16:57:10,00:00:00
7501189,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:52,2024-09-22T17:01:39,2024-09-22T17:01:41,00:00:00
7501189.batch,batch,soh,00:00:00,0,153060K,00:00:02,00:00:02,2,0:0,0,153060K,0,c2509,0,0,c2509,0,8,1,130000Mc,1,1,1,,2024-09-22T17:01:39,2024-09-22T17:01:39,2024-09-22T17:01:41,00:00:00
7501175,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:51,2024-09-22T16:58:08,2024-09-22T16:58:10,00:00:00
7501175.batch,batch,soh,00:00:00,0,153060K,00:00:02,00:00:02,2,0:0,0,153060K,0,c2509,0,0,c2509,0,12,1,130000Mc,1,1,1,,2024-09-22T16:58:08,2024-09-22T16:58:08,2024-09-22T16:58:10,00:00:00
7501192,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:52,2024-09-22T17:02:39,2024-09-22T17:02:41,00:00:00
7501192.batch,batch,soh,00:00:00,0,152916K,00:00:02,00:00:02,2,0:0,0,152916K,0,c2509,0,0,c2509,0,8,1,130000Mc,1,1,1,,2024-09-22T17:02:39,2024-09-22T17:02:39,2024-09-22T17:02:41,00:00:00
7501200,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:52,2024-09-22T17:04:40,2024-09-22T17:04:42,00:00:00
7501200.batch,batch,soh,00:00:00,464K,152916K,00:00:02,00:00:02,2,0:0,464K,152916K,0,c2509,0,0,c2509,0,6,1,130000Mc,1,1,1,,2024-09-22T17:04:40,2024-09-22T17:04:40,2024-09-22T17:04:42,00:00:00
